features,nn,acc_mean,acc_std,f1_mean,f1_std,above_73,avg_acc_above_73
"X1,F_w_mean,above_4,above_5",6,0.5891076923076923,0.0944218608726331,0.5990969122000318,0.1125055089748295,0.07,0.0678289029530722
"X1,F_w_mean,above_4,above_5",7,0.5923076923076923,0.0877724330299667,0.6505205357920907,0.0876714548448447,0.06,0.05835402656634214
"X1,F_w_mean,above_4,above_5",8,0.5752461538461539,0.095147122453822,0.5996417257720862,0.1054525211466557,0.05,0.051924960239492335
"X1,F_w_mean,above_4,above_5",9,0.5951076923076923,0.0838672887971079,0.6599012947302554,0.0844442681907934,0.02,0.05387359154867932
"X1,F_w_mean,above_4,above_5",10,0.5974153846153847,0.0946662477419405,0.6292688803127539,0.1041550499774617,0.06,0.08067465357832615
"X1,F_w_mean,above_4,above_5",11,0.6006461538461538,0.0805863658869408,0.6656241107740896,0.0811464617496094,0.03,0.05422952401639036
"X1,F_w_mean,above_4,above_5",12,0.5961230769230768,0.1004716639967319,0.6284772929302019,0.1090434577016542,0.09,0.0913505351665721
"X1,F_w_mean,above_4,above_5",13,0.6057230769230769,0.0903251404976331,0.6664927311607991,0.0893264201666317,0.07,0.08442876197174742
"X1,F_w_mean,above_4,above_5",14,0.6013076923076922,0.0990316129073418,0.6384029332690546,0.1060771112255197,0.06,0.09688493837357193
"X1,F_w_mean,above_4,above_5",15,0.6064461538461539,0.0929846192027693,0.6695604336669544,0.0893212981207566,0.09,0.0919642849452389
"X3,X5,X6,mean",1,0.5298307692307692,0.0810822929180722,0.5631396334023467,0.0942068963118373,0.0,0.006779921429572844
"X3,X5,X6,mean",2,0.5060923076923076,0.0803936822269749,0.3974137073284299,0.1469934372912523,0.0,0.0026752275075461185
"X3,X5,X6,mean",3,0.5623384615384616,0.0903624470359204,0.589120704593539,0.0982651411437427,0.04,0.031767152246402364
"X3,X5,X6,mean",4,0.5564307692307692,0.0790164030607741,0.5271208090212613,0.1075515916177704,0.02,0.014023699048669291
"X3,X5,X6,mean",5,0.5880307692307692,0.0786999635346486,0.6335493574513912,0.0796580604244199,0.05,0.035621135113119706
"X3,X5,X6,mean",6,0.5844615384615385,0.0865087470352534,0.5952335183689805,0.0990262597490751,0.05,0.0462499679046654
"X3,X5,X6,mean",7,0.6135384615384615,0.0895831239390241,0.6643177030672771,0.0846897995914558,0.08,0.09679383275280107
"X3,X5,X6,mean",8,0.6048307692307692,0.0889925254490444,0.6310563187885503,0.0910473835898047,0.09,0.07978577878841642
"X3,X5,X6,mean",9,0.6251384615384614,0.0868816020862017,0.6815487056788224,0.0773446306420516,0.1,0.11372616818935755
"X3,X5,X6,mean",10,0.6258461538461537,0.0856316592452158,0.6658992956697061,0.0834226806563409,0.11,0.11193519955198172
"X3,X5,X6,mean",11,0.6274461538461538,0.0870434075211868,0.6910828226679402,0.0761781055826891,0.11,0.11936003613537916
"X3,X5,X6,mean",12,0.6146769230769231,0.082881370987724,0.6624108922737244,0.0821267104350657,0.09,0.0820485402709833
"X3,X5,X6,mean",13,0.6147538461538461,0.0864059758507587,0.686178130464416,0.0754800164101451,0.08,0.09113875886877598
"X3,X5,X6,mean",14,0.6067076923076923,0.0865659156451272,0.6640028847093495,0.0784061739225884,0.09,0.0771857168271134
"X3,X5,X6,mean",15,0.6090307692307693,0.0889751391379377,0.6826187817857777,0.0787929513895549,0.09,0.0869807038640924
"X3,X5,X6,F_w_mean",1,0.5481076923076923,0.0882347205875315,0.578291085036759,0.093948658487004,0.01,0.019629609181481267
"X3,X5,X6,F_w_mean",2,0.5129384615384616,0.0863073070058587,0.4331945183302849,0.134061156890326,0.01,0.00595188102923605
"X3,X5,X6,F_w_mean",3,0.5623076923076924,0.0935545279724183,0.6014982428713833,0.0978366427163224,0.03,0.0365300332203069
"X3,X5,X6,F_w_mean",4,0.5366307692307692,0.0954458103946605,0.4963883614865426,0.126833277890024,0.04,0.021384529567940902
"X3,X5,X6,F_w_mean",5,0.5788923076923077,0.0958766663371698,0.6167038903926972,0.1021952689644447,0.06,0.05750561132521048
"X3,X5,X6,F_w_mean",6,0.594476923076923,0.0964182444863133,0.5890048933119525,0.1155395655566979,0.06,0.07992517747597772
"X3,X5,X6,F_w_mean",7,0.6138461538461538,0.1002451433107681,0.657845488922322,0.0963032660423777,0.14,0.12328965503072131
"X3,X5,X6,F_w_mean",8,0.6151692307692307,0.0965453004013442,0.6320595860012387,0.1021389406549707,0.1,0.11714158035900235
"X3,X5,X6,F_w_mean",9,0.6314923076923077,0.0908089756531346,0.6834203113749904,0.0839667576359824,0.13,0.13900971941298934
"X3,X5,X6,F_w_mean",10,0.6216615384615385,0.0893388417154221,0.6544320817134052,0.0848970288051228,0.1,0.11262816040152668
"X3,X5,X6,F_w_mean",11,0.6335538461538461,0.0857161118712201,0.6899381460224799,0.0778303008312003,0.13,0.13025613831473548
"X3,X5,X6,F_w_mean",12,0.6198615384615384,0.0907157847867032,0.6594072598497169,0.0892283671322681,0.11,0.112353870920048
"X3,X5,X6,F_w_mean",13,0.6358,0.091991472463034,0.6992294702626771,0.0811582456429054,0.11,0.15291575773142374
"X3,X5,X6,F_w_mean",14,0.6280769230769231,0.0927574619400624,0.6718974670213805,0.0933129162990083,0.15,0.13592488640515377
"X3,X5,X6,F_w_mean",15,0.6294,0.0933114388238902,0.6992337124555816,0.0800529028059023,0.13,0.14049232351397278
"X3,X5,X6,above_4",1,0.5614153846153846,0.0864354409012124,0.5949552782176556,0.1011314460146819,0.01,0.025563589233605355
"X3,X5,X6,above_4",2,0.5297692307692309,0.0801162986025637,0.4154400517148631,0.1503543988956803,0.02,0.006222799781988919
"X3,X5,X6,above_4",3,0.5509076923076922,0.0929656283114209,0.5726597335660497,0.1098641344413659,0.02,0.0270249950524607
"X3,X5,X6,above_4",4,0.5444,0.0818542563947705,0.5084551267317621,0.1234612920659776,0.01,0.01168153667151317
"X3,X5,X6,above_4",5,0.6041692307692308,0.075613246702698,0.6500645110180501,0.0706890673733313,0.05,0.04804256990142419
"X3,X5,X6,above_4",6,0.6182461538461539,0.0828744027261671,0.6268664415172721,0.0914697867451451,0.13,0.08875324297851062
