features,model,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
"X5,X6,above_5",Categorical,0.5511076923076923,0.08500903676292859,0.5965490602292437,0.09768490016122584,0.01,0.017672148312592895,0.0
"X5,X6,count_3",Categorical,0.5987230769230769,0.08168957115509273,0.6653017257458389,0.07573753953136697,0.02,0.0540247911344337,0.0
"X5,X6,count_5",Categorical,0.5511076923076923,0.08500903676292859,0.5965490602292437,0.09768490016122584,0.01,0.017672148312592895,0.0
"X5,above_4,above_5",Categorical,0.5835384615384617,0.0804168135735646,0.634566600643508,0.08413614803121638,0.04,0.034282148517564726,0.0
"X5,above_4,count_3",Categorical,0.6014615384615385,0.06691702006189829,0.6728791725236934,0.06364731681129557,0.03,0.027374459039926413,0.0
"X5,above_4,count_5",Categorical,0.5835384615384617,0.0804168135735646,0.634566600643508,0.08413614803121638,0.04,0.034282148517564726,0.0
"X5,above_5,count_3",Categorical,0.5501692307692307,0.08337010801985688,0.5952073937755322,0.09992937762027644,0.01,0.0155021564197102,0.0
"X5,above_5,count_5",Categorical,0.5465846153846153,0.08941177397548819,0.5527564006975219,0.1214669146641521,0.01,0.020116142274625215,0.0
"X5,count_3,count_5",Categorical,0.5501692307692307,0.08337010801985688,0.5952073937755322,0.09992937762027644,0.01,0.0155021564197102,0.0
"X6,above_4,above_5",Categorical,0.6287846153846154,0.07523982799007671,0.6786001229354858,0.07967928249006027,0.09,0.08927438961977885,0.0
"X6,above_4,count_3",Categorical,0.5957076923076923,0.06928828209374915,0.6706749320756756,0.06238907299580625,0.02,0.02630138535236015,0.0
"X6,above_4,count_5",Categorical,0.6287846153846154,0.07523982799007671,0.6786001229354858,0.07967928249006027,0.09,0.08927438961977885,0.0
"X6,above_5,count_3",Categorical,0.5737846153846154,0.08197269569946256,0.6347540076077552,0.0840856211490443,0.01,0.02834455506801037,0.0
"X6,above_5,count_5",Categorical,0.5480307692307691,0.06950461395437534,0.569803127305582,0.09934487073970505,0.0,0.004421193391791811,0.0
"X6,count_3,count_5",Categorical,0.5737846153846154,0.08197269569946256,0.6347540076077552,0.0840856211490443,0.01,0.02834455506801037,0.0
"above_4,above_5,count_3",Categorical,0.6094615384615385,0.07096440477846713,0.6675154464427056,0.0671345539872425,0.03,0.04469951532645622,0.0
"above_4,above_5,count_5",Categorical,0.5745538461538461,0.08189166461690597,0.6057680355155025,0.09126469912701696,0.02,0.028835355974462407,0.0
"above_4,count_3,count_5",Categorical,0.6094615384615385,0.07096440477846713,0.6675154464427056,0.0671345539872425,0.03,0.04469951532645622,0.0
"above_5,count_3,count_5",Categorical,0.5384461538461538,0.08780923244041682,0.562895183041756,0.10847693773526645,0.0,0.014574066312316503,0.0
"X1,X3,X5,X6",Categorical,0.601123076923077,0.06935641760300118,0.6465255551351806,0.07332617193190721,0.03,0.03157150854117252,0.0
"X1,X3,X5,above_4",Categorical,0.6062923076923077,0.07043267631924209,0.6556697818532093,0.07379520858808081,0.04,0.03951038182549749,0.0
"X1,X3,X5,above_5",Categorical,0.5963692307692308,0.07327391101546961,0.631420659070525,0.07913980457382036,0.03,0.03409754512770913,0.0
"X1,X3,X5,count_3",Categorical,0.5999538461538462,0.06830091962266523,0.6391546870841345,0.07647811037551981,0.01,0.028453945273239856,0.0
"X1,X3,X5,count_5",Categorical,0.5963692307692308,0.07327391101546961,0.631420659070525,0.07913980457382036,0.03,0.03409754512770913,0.0
"X1,X3,X6,above_4",Categorical,0.6119384615384615,0.08170639310700364,0.6634960043246656,0.08271212630407271,0.05,0.0742361616508933,0.0
"X1,X3,X6,above_5",Categorical,0.5897692307692308,0.0741469435025425,0.6267132962345894,0.08087994994393544,0.01,0.029295163856433937,0.0
"X1,X3,X6,count_3",Categorical,0.5872769230769231,0.0746738407021301,0.6351725130731869,0.08346867597220868,0.02,0.027983909463822232,0.0
"X1,X3,X6,count_5",Categorical,0.5897692307692308,0.0741469435025425,0.6267132962345894,0.08087994994393544,0.01,0.029295163856433937,0.0
"X1,X3,above_4,above_5",Categorical,0.6166923076923077,0.07462454345057731,0.6514324293890299,0.0774427027599353,0.06,0.06446053407458896,0.0
"X1,X3,above_4,count_3",Categorical,0.6048,0.0738770063755017,0.6605515464219783,0.0788236412601345,0.03,0.04506535420738644,0.0
"X1,X3,above_4,count_5",Categorical,0.6166923076923077,0.07462454345057731,0.6514324293890299,0.0774427027599353,0.06,0.06446053407458896,0.0
"X1,X3,above_5,count_3",Categorical,0.5968307692307692,0.07538298899344467,0.6382195344906789,0.0797709803019821,0.05,0.0386502412561478,0.0
"X1,X3,above_5,count_5",Categorical,0.5948769230769231,0.07674781726942664,0.6342778384199965,0.07961701656933436,0.03,0.03915210451347817,0.0
"X1,X3,count_3,count_5",Categorical,0.5968307692307692,0.07538298899344467,0.6382195344906789,0.0797709803019821,0.05,0.0386502412561478,0.0
"X1,X5,X6,above_4",Categorical,0.6182,0.08289069012184504,0.6669298085054468,0.08338786978071126,0.06,0.08870634951483813,0.0
"X1,X5,X6,above_5",Categorical,0.5995692307692307,0.07804416288837203,0.6398686444316626,0.07897551011140695,0.02,0.04733683449650894,0.0
"X1,X5,X6,count_3",Categorical,0.5816153846153845,0.07779699724966953,0.6319990497190102,0.07823577255418232,0.01,0.02823887678003989,0.0
"X1,X5,X6,count_5",Categorical,0.5995692307692307,0.07804416288837203,0.6398686444316626,0.07897551011140695,0.02,0.04733683449650894,0.0
"X1,X5,above_4,above_5",Categorical,0.6094153846153847,0.07884079681613795,0.6460019283345647,0.07918578633480788,0.06,0.06307401381202127,0.0
"X1,X5,above_4,count_3",Categorical,0.6029230769230769,0.07830739005533327,0.6569256322551214,0.07531520229966897,0.03,0.05231650547096889,0.0
