features,nn,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
above_4,4,0.4773076923076923,0.06619654257225759,0.10782757263577786,0.24828884590809192,0.0,6.745902425908668e-05,0.0
above_4,5,0.5082923076923077,0.0898658816592289,0.2607125214677339,0.32821048941768144,0.0,0.006810705392157224,0.0
above_4,6,0.4765076923076923,0.06493869844871406,0.11528139686341611,0.2516056194875969,0.0,4.7393409509211004e-05,0.0
above_4,7,0.5031076923076924,0.08924694283130223,0.2217130281669639,0.3219518804554333,0.0,0.00550631474149299,0.0
above_4,8,0.47567692307692305,0.06571147081331923,0.10976221982146867,0.24851044978177123,0.0,5.435084881078023e-05,0.0
above_4,9,0.486076923076923,0.07722536757082936,0.15955885860069258,0.2858070619203474,0.0,0.0007926786829532961,0.0
above_4,10,0.4681692307692307,0.05896933111231905,0.08507526797654631,0.21841653134080433,0.0,4.495485111166708e-06,0.0
above_4,11,0.48535384615384614,0.08637868463783942,0.18223990100147347,0.2887352844987863,0.0,0.002311074331589169,0.0
above_4,12,0.46456923076923073,0.06452317779970838,0.08882885281841638,0.21948597395367128,0.0,1.9466051403127516e-05,0.0
above_4,13,0.4798307692307692,0.09224995501995344,0.1860603251907681,0.2891103952405196,0.0,0.003345312936172351,0.0
above_4,14,0.45755384615384614,0.06446763143592744,0.06932719557528555,0.18940949484166655,0.0,1.188923018180521e-05,0.0
above_4,15,0.4609692307692307,0.08788471604101289,0.19565017049920425,0.2730688624831465,0.0,0.0011023395099739597,0.0
above_5,1,0.5277384615384616,0.09536015939583994,0.5803493311534651,0.17299158519626961,0.0,0.01695973620183766,0.0
above_5,2,0.5232615384615383,0.0970007698377308,0.3600295341629712,0.27494670253199727,0.01,0.016531911652752695,0.0
above_5,3,0.584,0.09299920467942678,0.5911911514543896,0.16115197922060273,0.06,0.05821850254905547,0.0
above_5,4,0.5668307692307691,0.09735759012542158,0.5070604895819399,0.22771056727384037,0.03,0.0468711990734203,0.0
above_5,5,0.5994923076923078,0.09518193230170519,0.6286928503114538,0.1481304109428459,0.04,0.08516576096110096,0.0
above_5,6,0.5806,0.09811523113095978,0.5528471278380332,0.19260151827537084,0.05,0.06391696863994178,0.0
above_5,7,0.6161999999999999,0.08986128824060088,0.648779446075851,0.11300358597489447,0.06,0.10268562332268394,0.0
above_5,8,0.6067230769230768,0.09654349481209257,0.617449908024029,0.14844410329969332,0.08,0.10081779956458703,0.0
above_5,9,0.641353846153846,0.08798581919092545,0.6836327033995037,0.08015038131919093,0.13,0.15684607512978443,0.0
above_5,10,0.6388923076923078,0.0897238577574971,0.6750197786898048,0.09001670804908629,0.13,0.15495205459128125,0.0
above_5,11,0.6428923076923075,0.08751703942289818,0.6837755605423607,0.08019214677405923,0.13,0.15978968059002618,0.0
above_5,12,0.641353846153846,0.08798581919092545,0.6811781579449581,0.08330780049982332,0.13,0.15684607512978443,0.0
above_5,13,0.6428923076923075,0.08751703942289818,0.6837755605423607,0.08019214677405923,0.13,0.15978968059002618,0.0
above_5,14,0.6428923076923075,0.08751703942289818,0.6837755605423607,0.08019214677405923,0.13,0.15978968059002618,0.0
above_5,15,0.6428923076923075,0.08751703942289818,0.6837755605423607,0.08019214677405923,0.13,0.15978968059002618,0.0
"X1,X6",1,0.624476923076923,0.09499799935607489,0.6402043083278,0.15411631218697433,0.15,0.1333288111824149,0.0
"X1,X6",2,0.5642615384615385,0.08192791029439907,0.4322984456446837,0.19552716424971875,0.05,0.02153764406248082,0.0
"X1,X6",3,0.5994307692307692,0.09683992892562203,0.5702092310992329,0.17981250082680258,0.09,0.08878103143431992,0.0
"X1,X6",4,0.5714153846153845,0.09185715177034909,0.4702199315954656,0.2025538939687681,0.05,0.042135361387789505,0.0
"X1,X6",5,0.6156461538461538,0.0975377469034728,0.6240376307724554,0.1424997970532818,0.11,0.12051703258342816,0.0
"X1,X6",6,0.5934615384615385,0.10387575076808415,0.5349254581809949,0.199055969983987,0.1,0.09434905660681281,0.0
"X1,X6",7,0.6145692307692308,0.09811054144787536,0.6233535941820729,0.1438265243022167,0.13,0.11969000070818092,0.0
"X1,X6",8,0.6036923076923076,0.09705705026383792,0.5799133083181283,0.1711895797059077,0.11,0.09656493373673336,0.0
"X1,X6",9,0.6093230769230769,0.09403456999970589,0.6370654454708612,0.11747510415412091,0.09,0.09968910289809951,0.0
"X1,X6",10,0.6033384615384615,0.09479371686665973,0.6068049536431015,0.13612818652436798,0.08,0.09074510285092519,0.0
"X1,X6",11,0.6112923076923077,0.08343149973438686,0.6529951624592321,0.09305378339172485,0.08,0.07739471691219602,0.0
"X1,X6",12,0.6041230769230769,0.09083827361119719,0.6297714784312967,0.11170040617485247,0.07,0.08291535088550117,0.0
"X1,X6",13,0.6061384615384615,0.08248349162427926,0.6574368234709864,0.08349249566646727,0.05,0.06659344319347771,0.0
"X1,X6",14,0.6124615384615384,0.08611551345027639,0.6485608739041239,0.092179422227725,0.05,0.0861433412754481,0.0
"X1,X6",15,0.6112000000000001,0.08028590332174976,0.6670216150071124,0.07896433678484095,0.04,0.06947508512729006,0.0
"X1,mean",1,0.6210769230769231,0.09303673639765438,0.6269110059794234,0.1553000567048763,0.15,0.1208489537899946,0.0
"X1,mean",2,0.5683230769230768,0.07790514487267922,0.40730805052976515,0.19764565960233968,0.05,0.01897914626176833,0.0
