features,model,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
"X1,X3,X6,F_w_mean,above_4,count_5",Gaussian,0.5516153846153845,0.09157772267282491,0.5991735506947673,0.09382559128584197,0.03,0.025713223536962704,0.0
"X1,X3,X6,F_w_mean,above_5,count_3",Gaussian,0.5536,0.08011965016895209,0.5914151889289494,0.08251607336716692,0.01,0.013843003599418813,0.0
"X1,X3,X6,F_w_mean,above_5,count_5",Gaussian,0.5738,0.07927196987019176,0.5906005290677377,0.0934538606605768,0.02,0.024394459451520967,0.0
"X1,X3,X6,F_w_mean,count_3,count_5",Gaussian,0.5536,0.08011965016895209,0.5914151889289494,0.08251607336716692,0.01,0.013843003599418813,0.0
"X1,X3,X6,above_4,above_5,count_3",Gaussian,0.5484615384615384,0.08742645260666028,0.597717294752034,0.09423039212615275,0.02,0.018925222157637367,0.0
"X1,X3,X6,above_4,above_5,count_5",Gaussian,0.5424,0.0862030958133793,0.5528324081482313,0.10634099036644257,0.02,0.014768063761035899,0.0
"X1,X3,X6,above_4,count_3,count_5",Gaussian,0.5484615384615384,0.08742645260666028,0.597717294752034,0.09423039212615275,0.02,0.018925222157637367,0.0
"X1,X3,X6,above_5,count_3,count_5",Gaussian,0.5544,0.07795356530137199,0.5608553610344864,0.09279216030359527,0.02,0.012141462454239305,0.0
"X1,X3,mean,F_w_mean,above_4,above_5",Gaussian,0.551923076923077,0.08267720792370273,0.5993550883939261,0.08973198743018496,0.01,0.015624726202990602,0.0
"X1,X3,mean,F_w_mean,above_4,count_3",Gaussian,0.5746923076923077,0.07703357448303394,0.6314434258815952,0.07989968449870441,0.01,0.02189455456290912,0.0
"X1,X3,mean,F_w_mean,above_4,count_5",Gaussian,0.551923076923077,0.08267720792370273,0.5993550883939261,0.08973198743018496,0.01,0.015624726202990602,0.0
"X1,X3,mean,F_w_mean,above_5,count_3",Gaussian,0.5503538461538462,0.075504411877835,0.5927970815129553,0.08289273352058572,0.01,0.008673241812002686,0.0
"X1,X3,mean,F_w_mean,above_5,count_5",Gaussian,0.5708923076923077,0.08108806812903738,0.5838610216192288,0.10326079606648028,0.03,0.02487198091723153,0.0
"X1,X3,mean,F_w_mean,count_3,count_5",Gaussian,0.5503538461538462,0.075504411877835,0.5927970815129553,0.08289273352058572,0.01,0.008673241812002686,0.0
"X1,X3,mean,above_4,above_5,count_3",Gaussian,0.5559076923076922,0.09205818072856564,0.5995233559024786,0.10067353055345184,0.03,0.02930471385822786,0.0
"X1,X3,mean,above_4,above_5,count_5",Gaussian,0.5483846153846154,0.08643973856026443,0.5565424289224804,0.10931409902246546,0.02,0.017817693685882263,0.0
"X1,X3,mean,above_4,count_3,count_5",Gaussian,0.5559076923076922,0.09205818072856564,0.5995233559024786,0.10067353055345184,0.03,0.02930471385822786,0.0
"X1,X3,mean,above_5,count_3,count_5",Gaussian,0.5540461538461539,0.07686571861515934,0.5598219369359574,0.09445964072864367,0.02,0.011036571275724438,0.0
"X1,X3,F_w_mean,above_4,above_5,count_3",Gaussian,0.5686615384615384,0.07871171427746344,0.616623539356149,0.08429110173446211,0.01,0.020194959095000686,0.0
"X1,X3,F_w_mean,above_4,above_5,count_5",Gaussian,0.5705846153846154,0.08048676762868298,0.593372287633526,0.09939642159602816,0.02,0.023815778888527928,0.0
"X1,X3,F_w_mean,above_4,count_3,count_5",Gaussian,0.5686615384615384,0.07871171427746344,0.616623539356149,0.08429110173446211,0.01,0.020194959095000686,0.0
